"","decision","HI","SI","ID"
"1",0.5,5,96,1007
"2",0,4,94,1007
"3",0.5,3,100,1007
"4",0,3,99,1007
"5",0.5,2,99,1007
"6",0,1,100,1007
"7",0.5,4,94,1007
"8",0.5,7,92,1007
"9",0.5,3,95,1007
"10",0.5,9,95,1007
"11",0.5,5,97,1007
"12",0.5,3,97,1007
"13",0,75,100,1007
"14",0,85,97,1007
"15",0,78,95,1007
"16",0,85,97,1007
"17",0,81,94,1007
"18",0,85,95,1007
"19",0.5,2,4,1008
"20",0.5,7,7,1008
"21",0.5,10,9,1008
"22",0.5,7,6,1008
"23",0.5,7,6,1008
"24",0.5,2,1,1008
"25",0,40,81,1008
"26",0,33,75,1008
"27",0,25,77,1008
"28",0,24,77,1008
"29",0,32,93,1008
"30",0,28,90,1008
"31",0.5,5,10,1008
"32",0.5,51,50,1008
"33",0,8,5,1008
"34",0,18,94,1008
"35",0,8,80,1008
"36",0.5,12,81,1008
"37",0.5,1,79,1009
"38",0,0,78,1009
"39",0.5,1,75,1009
"40",0.5,30,93,1009
"41",0,0,100,1009
"42",0,5,98,1009
"43",0.5,5,68,1009
"44",0.5,7,81,1009
"45",0.5,7,84,1009
"46",0.5,7,88,1009
"47",0.5,6,89,1009
"48",0.5,8,90,1009
"49",0,0,100,1009
"50",0,8,100,1009
"51",0,4,93,1009
"52",0,19,100,1009
"53",0,15,100,1009
"54",0,12,97,1009
"55",0.5,10,86,1011
"56",0,17,91,1011
"57",0.5,15,91,1011
"58",0,12,96,1011
"59",0.5,17,87,1011
"60",0,14,88,1011
"61",0.5,14,93,1011
"62",0.5,15,92,1011
"63",0.5,14,94,1011
"64",0.5,11,91,1011
"65",0.5,14,88,1011
"66",0.5,10,90,1011
"67",0,10,90,1011
"68",0,9,86,1011
"69",0,13,91,1011
"70",0,13,88,1011
"71",0,13,89,1011
"72",0,11,89,1011
"73",0,0,100,1012
"74",0,0,100,1012
"75",0,0,100,1012
"76",0,0,100,1012
"77",0,0,100,1012
"78",0,0,100,1012
"79",0.5,0,82,1012
"80",0,0,74,1012
"81",0.5,0,82,1012
"82",0,0,100,1012
"83",0.5,0,100,1012
"84",0,0,100,1012
"85",0.5,0,74,1012
"86",0.5,0,78,1012
"87",0.5,0,74,1012
"88",0.5,0,79,1012
"89",0.5,0,75,1012
"90",0.5,0,78,1012
"91",0.5,40,41,1013
"92",0.5,28,23,1013
"93",0.5,28,26,1013
"94",0.5,26,25,1013
"95",0.5,27,26,1013
"96",0.5,29,28,1013
"97",0,28,26,1013
"98",0,27,73,1013
"99",0,47,78,1013
"100",0,40,78,1013
"101",0,40,79,1013
"102",0,40,82,1013
"103",0,38,33,1013
"104",0,47,56,1013
"105",0,45,46,1013
"106",0.5,36,69,1013
"107",0.5,37,72,1013
"108",0.5,42,58,1013
"109",0,21,82,1014
"110",0,15,85,1014
"111",0,15,84,1014
"112",0,17,86,1014
"113",0,61,85,1014
"114",0,59,76,1014
"115",0.5,28,31,1014
"116",0,20,21,1014
"117",0.5,23,80,1014
"118",0,22,87,1014
"119",0.5,28,78,1014
"120",0,82,75,1014
"121",0.5,5,32,1014
"122",0.5,41,38,1014
"123",0.5,14,84,1014
"124",0.5,21,29,1014
"125",0.5,28,30,1014
"126",0.5,25,31,1014
"127",0,27,100,1015
"128",0,36,100,1015
"129",0,32,100,1015
"130",0,40,100,1015
"131",0,27,100,1015
"132",0,26,100,1015
"133",0.5,0,67,1015
"134",0,0,62,1015
"135",0.5,0,25,1015
"136",0.5,32,100,1015
"137",0,29,100,1015
"138",0,1,100,1015
"139",0.5,0,49,1015
"140",0.5,0,50,1015
"141",0.5,0,50,1015
"142",0.5,0,50,1015
"143",0.5,0,50,1015
"144",0.5,0,50,1015
"145",0.5,25,68,1016
"146",0.5,0,79,1016
"147",0.5,0,83,1016
"148",0.5,0,79,1016
"149",0.5,0,81,1016
"150",0.5,0,81,1016
"151",0,0,100,1016
"152",0,0,100,1016
"153",0,0,100,1016
"154",0,0,100,1016
"155",0,0,100,1016
"156",0,0,100,1016
"157",0.5,0,71,1016
"158",0.5,4,73,1016
"159",0,0,75,1016
"160",0,0,93,1016
"161",0,0,90,1016
"162",0.5,1,94,1016
"163",0,0,100,1017
"164",0,0,100,1017
"165",0,0,100,1017
"166",0,0,100,1017
"167",0,0,100,1017
"168",0,0,100,1017
"169",0,0,73,1017
"170",0.5,0,88,1017
"171",0,0,75,1017
"172",0,0,100,1017
"173",0.5,0,100,1017
"174",0.5,0,100,1017
"175",0.5,0,48,1017
"176",0.5,0,55,1017
"177",0.5,0,55,1017
"178",0.5,0,57,1017
"179",0.5,0,51,1017
"180",0.5,0,50,1017
"181",0,0,0,1018
"182",0.5,0,0,1018
"183",0,0,0,1018
"184",0.5,100,99,1018
"185",0.5,100,100,1018
"186",0,100,100,1018
"187",0.5,0,0,1018
"188",0.5,0,0,1018
"189",0.5,0,0,1018
"190",0.5,0,0,1018
"191",0.5,0,0,1018
"192",0.5,1,0,1018
"193",0,100,100,1018
"194",0,99,100,1018
"195",0,100,100,1018
"196",0,100,100,1018
"197",0,100,100,1018
"198",0,100,100,1018
"199",0.5,57,58,1019
"200",0,56,55,1019
"201",0,57,58,1019
"202",0.5,55,55,1019
"203",0,54,54,1019
"204",0.5,57,57,1019
"205",0.5,41,41,1019
"206",0.5,44,42,1019
"207",0.5,51,47,1019
"208",0.5,61,59,1019
"209",0.5,61,58,1019
"210",0.5,56,56,1019
"211",0,55,55,1019
"212",0,55,54,1019
"213",0,56,56,1019
"214",0,56,54,1019
"215",0,57,55,1019
"216",0,57,56,1019
"217",0,31,100,1020
"218",0,19,100,1020
"219",0,25,100,1020
"220",0,21,100,1020
"221",0,18,100,1020
"222",0,19,100,1020
"223",0,8,81,1020
"224",0,8,85,1020
"225",0.5,4,65,1020
"226",0.5,16,100,1020
"227",0,28,100,1020
"228",0.5,15,100,1020
"229",0.5,8,87,1020
"230",0.5,6,94,1020
"231",0.5,8,85,1020
"232",0.5,10,91,1020
"233",0.5,8,94,1020
"234",0.5,6,94,1020
"235",0,0,66,1021
"236",0.5,25,26,1021
"237",0,19,33,1021
"238",0.5,6,95,1021
"239",0,0,100,1021
"240",0.5,12,95,1021
"241",0.5,25,27,1021
"242",0.5,28,31,1021
"243",0.5,15,22,1021
"244",0.5,2,27,1021
"245",0.5,0,25,1021
"246",0.5,1,28,1021
"247",0,8,94,1021
"248",0,1,96,1021
"249",0,3,95,1021
"250",0,5,94,1021
"251",0,3,95,1021
"252",0,0,97,1021
"253",0.5,72,61,1022
"254",0,59,58,1022
"255",0.5,75,59,1022
"256",0,84,69,1022
"257",0,70,60,1022
"258",0.5,68,60,1022
"259",0.5,51,50,1022
"260",0.5,51,50,1022
"261",0.5,45,55,1022
"262",0.5,48,52,1022
"263",0.5,48,52,1022
"264",0.5,45,51,1022
"265",0,61,62,1022
"266",0,54,54,1022
"267",0,52,52,1022
"268",0,54,52,1022
"269",0,54,53,1022
"270",0,58,57,1022
"271",0,1,100,1023
"272",0,3,98,1023
"273",0,2,100,1023
"274",0,3,98,1023
"275",0,2,97,1023
"276",0,2,97,1023
"277",0.5,10,79,1023
"278",0.5,0,58,1023
"279",0,0,73,1023
"280",0.5,9,79,1023
"281",0,6,95,1023
"282",0,7,71,1023
"283",0.5,0,38,1023
"284",0.5,0,56,1023
"285",0.5,0,72,1023
"286",0.5,19,68,1023
"287",0.5,0,64,1023
"288",0.5,0,63,1023
"289",0,0,79,1024
"290",0,0,74,1024
"291",0,0,75,1024
"292",0.5,100,100,1024
"293",0.5,100,100,1024
"294",0.5,100,100,1024
"295",0.5,0,74,1024
"296",0.5,0,80,1024
"297",0.5,0,78,1024
"298",0.5,0,82,1024
"299",0.5,0,80,1024
"300",0.5,0,81,1024
"301",0,100,100,1024
"302",0,100,100,1024
"303",0,100,100,1024
"304",0,100,100,1024
"305",0,100,100,1024
"306",0,100,100,1024
"307",0.5,0,0,1026
"308",0.5,0,0,1026
"309",0.5,0,0,1026
"310",0.5,0,0,1026
"311",0.5,0,0,1026
"312",0.5,0,0,1026
"313",0,76,74,1026
"314",0,50,88,1026
"315",0,60,100,1026
"316",0,64,100,1026
"317",0,61,100,1026
"318",0,64,100,1026
"319",0,19,79,1026
"320",0,3,66,1026
"321",0.5,7,82,1026
"322",0.5,69,87,1026
"323",0.5,70,80,1026
"324",0,39,89,1026
