"","decision","HI","SI","ID"
"1",0.5,24,23,1007
"2",0,10,70,1007
"3",0.5,13,12,1007
"4",0,13,92,1007
"5",0.5,6,97,1007
"6",0,65,82,1007
"7",0.5,9,13,1007
"8",0.5,11,11,1007
"9",0.5,9,9,1007
"10",0.5,14,13,1007
"11",0.5,12,11,1007
"12",0.5,7,7,1007
"13",0,37,88,1007
"14",0,68,96,1007
"15",0,92,94,1007
"16",0,97,97,1007
"17",0,95,94,1007
"18",0,85,94,1007
"19",0,6,74,1008
"20",0,7,86,1008
"21",0,8,92,1008
"22",0,12,90,1008
"23",0,18,98,1008
"24",0,10,81,1008
"25",0,0,10,1008
"26",0,0,13,1008
"27",0.5,0,12,1008
"28",0.5,9,91,1008
"29",0,0,82,1008
"30",0.5,5,89,1008
"31",0.5,0,11,1008
"32",0.5,0,8,1008
"33",0.5,0,8,1008
"34",0.5,0,0,1008
"35",0.5,0,0,1008
"36",0.5,0,0,1008
"37",0.5,0,63,1009
"38",0.5,0,73,1009
"39",0.5,0,84,1009
"40",0.5,0,79,1009
"41",0.5,0,85,1009
"42",0.5,0,86,1009
"43",0,28,100,1009
"44",0,27,100,1009
"45",0,17,100,1009
"46",0,17,100,1009
"47",0,18,100,1009
"48",0,24,100,1009
"49",0.5,0,91,1009
"50",0,0,80,1009
"51",0.5,0,85,1009
"52",0,10,100,1009
"53",0,11,100,1009
"54",0.5,21,100,1009
"55",0,12,88,1011
"56",0.5,13,86,1011
"57",0,10,86,1011
"58",0.5,11,90,1011
"59",0.5,12,82,1011
"60",0,10,89,1011
"61",0.5,13,86,1011
"62",0.5,10,90,1011
"63",0.5,12,87,1011
"64",0.5,16,89,1011
"65",0.5,12,86,1011
"66",0.5,13,89,1011
"67",0,9,92,1011
"68",0,13,86,1011
"69",0,14,87,1011
"70",0,10,88,1011
"71",0,10,88,1011
"72",0,13,88,1011
"73",0.5,0,83,1012
"74",0.5,1,78,1012
"75",0,0,81,1012
"76",0,0,100,1012
"77",0.5,1,100,1012
"78",0,0,100,1012
"79",0.5,0,87,1012
"80",0.5,0,83,1012
"81",0.5,0,84,1012
"82",0.5,0,88,1012
"83",0.5,0,87,1012
"84",0.5,0,86,1012
"85",0,1,100,1012
"86",0,0,100,1012
"87",0,1,100,1012
"88",0,0,100,1012
"89",0,0,100,1012
"90",0,0,100,1012
"91",0,31,29,1013
"92",0.5,28,28,1013
"93",0,36,34,1013
"94",0,26,29,1013
"95",0.5,33,32,1013
"96",0.5,29,30,1013
"97",0.5,25,24,1013
"98",0.5,28,26,1013
"99",0.5,24,23,1013
"100",0.5,22,22,1013
"101",0.5,23,19,1013
"102",0.5,22,21,1013
"103",0,32,29,1013
"104",0,45,44,1013
"105",0,41,58,1013
"106",0,42,61,1013
"107",0,43,63,1013
"108",0,39,61,1013
"109",0,6,100,1014
"110",0.5,23,73,1014
"111",0,33,84,1014
"112",0.5,4,100,1014
"113",0.5,41,96,1014
"114",0,36,100,1014
"115",0.5,35,71,1014
"116",0.5,33,78,1014
"117",0.5,27,67,1014
"118",0.5,28,68,1014
"119",0.5,31,65,1014
"120",0.5,28,89,1014
"121",0,18,96,1014
"122",0,39,86,1014
"123",0,52,89,1014
"124",0,55,83,1014
"125",0,53,96,1014
"126",0,65,100,1014
"127",0,0,50,1015
"128",0.5,0,51,1015
"129",0,1,50,1015
"130",0.5,0,100,1015
"131",0.5,0,100,1015
"132",0,0,100,1015
"133",0.5,0,48,1015
"134",0.5,0,31,1015
"135",0.5,0,24,1015
"136",0.5,0,19,1015
"137",0.5,0,15,1015
"138",0.5,0,8,1015
"139",0,0,100,1015
"140",0,0,100,1015
"141",0,0,100,1015
"142",0,1,100,1015
"143",0,0,100,1015
"144",0,1,100,1015
"145",0.5,9,70,1016
"146",0.5,20,75,1016
"147",0.5,21,75,1016
"148",0.5,18,77,1016
"149",0.5,27,75,1016
"150",0.5,26,73,1016
"151",0,47,100,1016
"152",0,51,100,1016
"153",0,61,100,1016
"154",0,17,98,1016
"155",0,30,81,1016
"156",0,25,74,1016
"157",0.5,32,76,1016
"158",0,30,74,1016
"159",0.5,31,68,1016
"160",0.5,34,100,1016
"161",0,18,78,1016
"162",0,37,100,1016
"163",0,0,76,1017
"164",0.5,0,75,1017
"165",0.5,0,69,1017
"166",0,0,100,1017
"167",0,0,100,1017
"168",0.5,0,100,1017
"169",0.5,0,49,1017
"170",0.5,0,50,1017
"171",0.5,0,50,1017
"172",0.5,0,50,1017
"173",0.5,0,70,1017
"174",0.5,0,65,1017
"175",0,0,100,1017
"176",0,0,100,1017
"177",0,0,100,1017
"178",0,0,100,1017
"179",0,0,100,1017
"180",0,0,100,1017
"181",0.5,0,0,1018
"182",0.5,0,0,1018
"183",0.5,0,0,1018
"184",0.5,1,0,1018
"185",0.5,0,0,1018
"186",0.5,0,0,1018
"187",0,100,100,1018
"188",0,100,100,1018
"189",0,100,100,1018
"190",0,100,100,1018
"191",0,100,100,1018
"192",0,100,100,1018
"193",0.5,0,0,1018
"194",0,0,1,1018
"195",0,0,0,1018
"196",0.5,100,100,1018
"197",0.5,100,100,1018
"198",0,0,0,1018
"199",0,72,100,1019
"200",0,79,81,1019
"201",0,68,73,1019
