"","decision","HI","SI","ID"
"1",0,95,98,1007
"2",0,96,95,1007
"3",0,95,95,1007
"4",0,95,95,1007
"5",0,90,96,1007
"6",0,84,94,1007
"7",0,8,21,1007
"8",0,14,59,1007
"9",0.5,11,24,1007
"10",0.5,82,89,1007
"11",0.5,99,94,1007
"12",0,83,90,1007
"13",0.5,13,14,1007
"14",0.5,4,3,1007
"15",0.5,3,4,1007
"16",0.5,15,15,1007
"17",0.5,10,32,1007
"18",0.5,10,8,1007
"19",0.5,2,5,1008
"20",0.5,0,0,1008
"21",0.5,0,0,1008
"22",0.5,0,0,1008
"23",0.5,0,0,1008
"24",0.5,0,0,1008
"25",0,48,84,1008
"26",0,49,98,1008
"27",0,36,100,1008
"28",0,43,100,1008
"29",0,38,100,1008
"30",0,16,100,1008
"31",0,0,17,1008
"32",0,0,32,1008
"33",0.5,0,0,1008
"34",0,0,100,1008
"35",0.5,0,88,1008
"36",0.5,0,100,1008
"37",0,0,88,1009
"38",0,0,88,1009
"39",0.5,0,86,1009
"40",0.5,17,100,1009
"41",0.5,23,100,1009
"42",0,12,100,1009
"43",0.5,0,88,1009
"44",0.5,0,94,1009
"45",0.5,0,93,1009
"46",0.5,0,95,1009
"47",0.5,0,95,1009
"48",0.5,8,100,1009
"49",0,11,100,1009
"50",0,6,100,1009
"51",0,8,100,1009
"52",0,10,100,1009
"53",0,8,100,1009
"54",0,8,100,1009
"55",0.5,17,81,1011
"56",0.5,21,75,1011
"57",0,17,75,1011
"58",0.5,20,78,1011
"59",0,20,81,1011
"60",0,26,81,1011
"61",0.5,17,79,1011
"62",0.5,22,81,1011
"63",0.5,21,82,1011
"64",0.5,17,85,1011
"65",0.5,23,83,1011
"66",0.5,19,84,1011
"67",0,19,81,1011
"68",0,21,82,1011
"69",0,18,88,1011
"70",0,17,86,1011
"71",0,17,83,1011
"72",0,19,85,1011
"73",0.5,10,90,1012
"74",0.5,6,85,1012
"75",0.5,5,90,1012
"76",0,5,96,1012
"77",0,7,85,1012
"78",0,4,96,1012
"79",0.5,6,95,1012
"80",0.5,6,93,1012
"81",0.5,7,92,1012
"82",0.5,6,95,1012
"83",0.5,7,92,1012
"84",0.5,4,92,1012
"85",0,0,100,1012
"86",0,4,90,1012
"87",0,1,92,1012
"88",0,9,91,1012
"89",0,7,94,1012
"90",0,2,90,1012
"91",0.5,25,23,1013
"92",0.5,25,29,1013
"93",0.5,29,24,1013
"94",0.5,28,23,1013
"95",0.5,26,23,1013
"96",0.5,22,22,1013
"97",0,27,26,1013
"98",0,27,25,1013
"99",0,22,20,1013
"100",0,24,18,1013
"101",0,24,16,1013
"102",0,25,18,1013
"103",0.5,23,19,1013
"104",0.5,25,22,1013
"105",0.5,28,26,1013
"106",0,29,26,1013
"107",0,24,21,1013
"108",0,25,15,1013
"109",0,28,100,1014
"110",0,28,100,1014
"111",0,24,100,1014
"112",0,20,100,1014
"113",0,23,100,1014
"114",0,21,100,1014
"115",0.5,2,44,1014
"116",0,15,42,1014
"117",0,14,40,1014
"118",0.5,19,81,1014
"119",0.5,31,96,1014
"120",0,23,86,1014
"121",0.5,5,31,1014
"122",0.5,5,33,1014
"123",0.5,4,30,1014
"124",0.5,4,38,1014
"125",0.5,6,37,1014
"126",0.5,4,40,1014
"127",0.5,0,62,1015
"128",0.5,0,80,1015
"129",0.5,2,54,1015
"130",0.5,0,50,1015
"131",0.5,0,50,1015
"132",0.5,0,50,1015
"133",0,36,100,1015
"134",0,45,100,1015
"135",0,46,100,1015
"136",0,49,100,1015
"137",0,50,100,1015
"138",0,48,100,1015
"139",0,0,74,1015
"140",0,20,65,1015
"141",0.5,0,69,1015
"142",0,48,100,1015
"143",0.5,48,100,1015
"144",0.5,41,100,1015
"145",0.5,10,47,1016
"146",0.5,6,64,1016
"147",0.5,9,63,1016
"148",0.5,25,61,1016
"149",0.5,18,66,1016
"150",0.5,19,67,1016
"151",0,0,100,1016
"152",0,8,100,1016
"153",0,4,98,1016
"154",0,9,98,1016
"155",0,7,97,1016
"156",0,11,94,1016
"157",0,2,68,1016
"158",0.5,0,74,1016
"159",0.5,12,76,1016
"160",0,0,88,1016
"161",0.5,10,87,1016
"162",0,9,79,1016
"163",0,0,97,1017
"164",0,0,89,1017
"165",0,0,96,1017
"166",0,0,100,1017
"167",0,0,100,1017
"168",0,0,100,1017
"169",0,0,52,1017
"170",0.5,0,49,1017
"171",0.5,0,50,1017
"172",0,0,76,1017
"173",0,0,64,1017
"174",0.5,0,79,1017
"175",0.5,0,30,1017
"176",0.5,0,37,1017
"177",0.5,0,40,1017
"178",0.5,0,30,1017
"179",0.5,0,39,1017
"180",0.5,0,35,1017
"181",0.5,0,0,1018
"182",0.5,0,0,1018
"183",0.5,0,0,1018
"184",0.5,0,0,1018
"185",0.5,0,0,1018
"186",0.5,0,0,1018
"187",0,100,100,1018
"188",0,100,100,1018
"189",0,100,98,1018
"190",0,100,100,1018
"191",0,100,100,1018
"192",0,100,100,1018
"193",0.5,0,0,1018
"194",0.5,0,0,1018
"195",0.5,1,0,1018
"196",0,100,100,1018
"197",0,99,100,1018
"198",0,100,100,1018
"199",0.5,43,28,1019
"200",0.5,57,56,1019
"201",0.5,60,55,1019
"202",0.5,39,34,1019
"203",0.5,44,43,1019
"204",0.5,43,41,1019
"205",0,79,76,1019
"206",0,78,74,1019
"207",0,82,81,1019
"208",0,79,77,1019
"209",0,79,75,1019
"210",0,79,77,1019
"211",0,40,39,1019
"212",0.5,45,44,1019
"213",0,40,41,1019
"214",0,81,80,1019
"215",0.5,80,81,1019
"216",0.5,73,74,1019
"217",0.5,15,41,1020
"218",0.5,29,56,1020
"219",0.5,20,61,1020
"220",0.5,19,64,1020
"221",0.5,14,63,1020
"222",0.5,14,63,1020
"223",0,57,70,1020
"224",0,53,68,1020
"225",0,41,63,1020
"226",0,56,76,1020
"227",0,54,75,1020
"228",0,54,79,1020
"229",0,51,62,1020
"230",0.5,35,55,1020
"231",0.5,38,58,1020
"232",0,59,76,1020
"233",0,42,61,1020
"234",0.5,56,72,1020
"235",0.5,2,78,1021
