"","decision","HI","SI","ID","iter"
"1",0,39,6,1007,1
"2",0,61,50,1007,1
"3",0,83,94,1007,1
"4",0,94,94,1007,1
"5",0,94,94,1007,1
"6",0,94,94,1007,1
"7",0,72,94,1007,1
"8",0,83,94,1007,1
"9",0.5,94,83,1007,1
"10",0.5,94,94,1007,1
"11",0.5,39,83,1007,1
"12",0,94,94,1007,1
"13",0.5,6,39,1007,1
"14",0.5,6,39,1007,1
"15",0.5,6,17,1007,1
"16",0.5,17,39,1007,1
"17",0.5,17,39,1007,1
"18",0.5,28,50,1007,1
"19",0.5,6,6,1008,1
"20",0.5,6,6,1008,1
"21",0.5,6,6,1008,1
"22",0.5,6,6,1008,1
"23",0.5,6,6,1008,1
"24",0.5,6,6,1008,1
"25",0,6,17,1008,1
"26",0,6,39,1008,1
"27",0,17,83,1008,1
"28",0,6,94,1008,1
"29",0,50,94,1008,1
"30",0,28,94,1008,1
"31",0,6,28,1008,1
"32",0,6,61,1008,1
"33",0.5,6,61,1008,1
"34",0,17,94,1008,1
"35",0.5,28,83,1008,1
"36",0.5,17,94,1008,1
"37",0,17,94,1009,1
"38",0,28,94,1009,1
"39",0.5,6,94,1009,1
"40",0.5,6,94,1009,1
"41",0.5,6,94,1009,1
"42",0,6,94,1009,1
"43",0.5,17,83,1009,1
"44",0.5,17,94,1009,1
"45",0.5,17,28,1009,1
"46",0.5,6,94,1009,1
"47",0.5,6,83,1009,1
"48",0.5,17,83,1009,1
"49",0,6,94,1009,1
"50",0,6,94,1009,1
"51",0,17,94,1009,1
"52",0,6,94,1009,1
"53",0,17,94,1009,1
"54",0,28,94,1009,1
"55",0.5,28,72,1011,1
"56",0.5,28,72,1011,1
"57",0,28,72,1011,1
"58",0.5,17,72,1011,1
"59",0,17,83,1011,1
"60",0,28,83,1011,1
"61",0.5,28,72,1011,1
"62",0.5,17,72,1011,1
"63",0.5,28,83,1011,1
"64",0.5,17,72,1011,1
"65",0.5,28,83,1011,1
"66",0.5,17,72,1011,1
"67",0,17,72,1011,1
"68",0,28,72,1011,1
"69",0,28,72,1011,1
"70",0,28,83,1011,1
"71",0,17,83,1011,1
"72",0,28,83,1011,1
"73",0.5,6,83,1012,1
"74",0.5,6,83,1012,1
"75",0.5,6,94,1012,1
"76",0,17,83,1012,1
