"","wHI","w0","Harmful Intent","Self Interest"
"1",0.01,-4,148.658745712886,70.9349672693267
"2",0.01,-3.5,147.708878476237,74.2172530474133
"3",0.01,-3,149.430547290226,75.3819875776397
"4",0.01,-2.5,150.564469440079,88.4799513973268
"5",0.01,-2,140.95849132897,88.7225098994822
"6",0.01,-1.5,142.13238371803,104.479056235303
"7",0.01,-1,153.406864523619,112.677172664691
"8",0.01,-0.5,133.912064470254,103.654644262523
"9",0.01,0,121.578663243367,103.208031496063
"10",0.01,0.5,117.62475074977,94.4378079199275
"11",0.01,1,149.730979508749,84.4886688127102
"12",0.01,1.5,166.052914289189,72.1886328163294
"13",0.01,2,170.872442275202,66.3834222502687
"14",0.01,2.5,157.825267127593,56.3081879886588
"15",0.01,3,151.924641672404,54.2287289279299
"16",0.01,3.5,157.277967631079,52.9250585480094
"17",0.01,4,152.367921808595,50.3395806129503
"18",0.02,-4,148.768418113595,69.9678116742733
"19",0.02,-3.5,155.027865564029,73.4144729472387
"20",0.02,-3,153.678456863076,74.1756730602724
"21",0.02,-2.5,150.52020652084,83.2454987139183
"22",0.02,-2,141.061343090831,90.4154549116775
"23",0.02,-1.5,141.712868461113,104.387694640536
"24",0.02,-1,152.982520845199,114.435506260706
"25",0.02,-0.5,129.361709687161,105.628164029069
"26",0.02,0,126.612624343388,103.536740265157
"27",0.02,0.5,125.865628558973,90.3388061902878
"28",0.02,1,138.134532210335,84.2361853740797
"29",0.02,1.5,166.162376779847,70.5458557588805
"30",0.02,2,167.677964237011,66.3511624116283
"31",0.02,2.5,150.58245868794,60.872105335508
"32",0.02,3,148.235078576663,56.9094063584357
"33",0.02,3.5,157.078931221598,54.052286395772
"34",0.02,4,159.351042489818,48.768383830266
"35",0.03,-4,141.605087118855,71.6588433265433
"36",0.03,-3.5,150.56481534662,73.4164467287123
"37",0.03,-3,151.419184462789,73.8529411764706
"38",0.03,-2.5,155.3972954837,85.3042204939637
"39",0.03,-2,142.0138076293,95.0790014667245
"40",0.03,-1.5,144.861862333144,103.902459905257
"41",0.03,-1,157.962211761643,114.967081892673
"42",0.03,-0.5,121.422563289263,110.056861309456
"43",0.03,0,113.320111492281,102.494764778651
"44",0.03,0.5,121.518923970362,95.6384374375236
"45",0.03,1,150.279981655584,83.3513719754539
"46",0.03,1.5,153.38963017748,69.9378705675954
"47",0.03,2,177.330508474576,65.1994321409421
"48",0.03,2.5,176.72417512485,59.12360754766
