"","wHI","Harmful Intent","Self Interest","Dictator"
"1",0.01,125.217723945755,69.0247639157245,"Fair"
"2",0.01,139.965776642758,61.6992371005815,"PFair"
"3",0.01,200.697611976932,58.2428425955553,"Unfair"
"4",0.02,125.224952238001,68.8279527378953,"Fair"
"5",0.02,145.45638042341,62.3997422718587,"PFair"
"6",0.02,189.924612513187,57.4080082599627,"Unfair"
"7",0.03,129.825922436293,69.6506017260042,"Fair"
"8",0.03,142.568793740609,64.2357821401086,"PFair"
"9",0.03,186.471888949559,58.6619099503824,"Unfair"
"10",0.04,138.002447018127,70.3951874805999,"Fair"
"11",0.04,150.167569973742,64.2706088309667,"PFair"
"12",0.04,180.417904807488,59.2455063536427,"Unfair"
"13",0.05,137.367209817048,71.2769409315846,"Fair"
"14",0.05,144.302432969729,62.8300986204919,"PFair"
"15",0.05,178.688778389281,59.0539936639659,"Unfair"
"16",0.06,129.781959948306,73.2486262124128,"Fair"
"17",0.06,145.505383617316,61.3876306132031,"PFair"
"18",0.06,169.119893607822,60.6641577288854,"Unfair"
"19",0.07,126.128348597616,74.0819785966635,"Fair"
"20",0.07,138.843102515124,60.4541645888865,"PFair"
"21",0.07,162.879269584687,57.2065503877906,"Unfair"
"22",0.08,121.87020942452,74.3145536045134,"Fair"
"23",0.08,129.517494971536,61.8130869742872,"PFair"
"24",0.08,154.870555258519,56.2768887918523,"Unfair"
"25",0.09,119.220401343869,75.4681394392728,"Fair"
"26",0.09,129.157304373211,61.2708763132796,"PFair"
"27",0.09,147.898166934895,54.7285238814075,"Unfair"
"28",0.1,117.050070486318,74.226166235072,"Fair"
"29",0.1,125.995174325084,60.6807949264973,"PFair"
"30",0.1,134.800334390308,57.9929609921326,"Unfair"
"31",0.11,116.626227064578,73.884867045803,"Fair"
"32",0.11,117.270591989656,61.7460461469124,"PFair"
"33",0.11,136.15592927819,56.8615058835305,"Unfair"
"34",0.12,118.658054518792,74.2494001683727,"Fair"
"35",0.12,106.271940629698,62.427105044843,"PFair"
"36",0.12,127.362189965363,57.5155663471732,"Unfair"
"37",0.13,117.780425070314,74.2012530180851,"Fair"
"38",0.13,104.079863525918,60.4652987262569,"PFair"
"39",0.13,120.416655733454,58.0942375748919,"Unfair"
"40",0.14,118.174414674205,73.64026377545,"Fair"
"41",0.14,97.3599667282085,60.9483918211906,"PFair"
"42",0.14,112.805529706928,59.0562271678614,"Unfair"
"43",0.15,119.937190035587,74.7790280728496,"Fair"
"44",0.15,100.023239387295,61.4204718022934,"PFair"
"45",0.15,110.691649888691,58.3717694154313,"Unfair"
"46",0.16,120.423312807676,72.7290841770642,"Fair"
"47",0.16,96.8830553936032,61.9075573385648,"PFair"
"48",0.16,105.435513029569,58.6658196539753,"Unfair"
"49",0.17,118.719046431705,72.9669137652022,"Fair"
"50",0.17,92.4792979360367,60.732666426319,"PFair"
"51",0.17,92.364686346577,58.0399677847946,"Unfair"
"52",0.18,118.607062063162,74.4937290645223,"Fair"
"53",0.18,89.0135769146853,60.7958758723257,"PFair"
"54",0.18,85.6151570266557,57.5236381427943,"Unfair"
"55",0.19,121.550312347369,73.8733827855055,"Fair"
"56",0.19,88.1642464155807,61.1225274306752,"PFair"
"57",0.19,82.5677324716862,58.2564781733281,"Unfair"
"58",0.2,122.957480838942,74.2067948144931,"Fair"
"59",0.2,84.1104960542001,60.6971141828104,"PFair"
"60",0.2,79.0645483562402,59.7198967148196,"Unfair"
"61",0.21,122.254232298706,75.4825241072129,"Fair"
"62",0.21,78.0655409063443,59.6520848765685,"PFair"
"63",0.21,75.6667223702542,58.9182499407922,"Unfair"
"64",0.22,122.557716513181,78.0289879746869,"Fair"
"65",0.22,74.0675601647731,59.5045341905946,"PFair"
"66",0.22,72.1260513490029,59.0969466018294,"Unfair"
"67",0.23,122.809982115449,76.1828577901499,"Fair"
"68",0.23,70.3580362196114,60.9977402076243,"PFair"
"69",0.23,68.7179278891325,58.8688511353972,"Unfair"
"70",0.24,121.583989355267,76.2775494388899,"Fair"
"71",0.24,67.4281528509868,63.4246545520701,"PFair"
"72",0.24,65.4334902105434,58.6560831228986,"Unfair"
"73",0.25,119.042202794885,78.9908632367041,"Fair"
"74",0.25,65.5656503965523,62.8638376047768,"PFair"
"75",0.25,64.0043785817163,59.8554856167034,"Unfair"
"76",0.26,118.183856400344,79.1769114914796,"Fair"
"77",0.26,63.6846626190888,62.0338388256362,"PFair"
"78",0.26,61.999073956639,57.6935791011111,"Unfair"
"79",0.27,118.806986361937,80.5581567146818,"Fair"
"80",0.27,61.8105330655734,63.4816831085191,"PFair"
"81",0.27,59.2345503514807,59.1069362052432,"Unfair"
"82",0.28,114.687453090318,80.9774426898452,"Fair"
"83",0.28,61.6994268629167,63.9777145586205,"PFair"
"84",0.28,58.7937658531479,59.9053230582167,"Unfair"
"85",0.29,112.571263662927,81.3544382959047,"Fair"
"86",0.29,59.5369727292903,63.9396815760317,"PFair"
"87",0.29,56.0973492844914,58.846357700112,"Unfair"
"88",0.3,108.716698236396,80.8243458452143,"Fair"
"89",0.3,57.8916868690555,64.9623973750514,"PFair"
"90",0.3,54.486917895254,60.561957368563,"Unfair"
"91",0.31,105.840181793743,82.9971217324958,"Fair"
"92",0.31,57.1441744434294,64.8184927210332,"PFair"
"93",0.31,50.3384695902167,60.6565551909809,"Unfair"
"94",0.32,103.619067530324,82.7834693461763,"Fair"
"95",0.32,55.5464434243452,63.6845528693223,"PFair"
"96",0.32,48.2389715080712,61.366083751135,"Unfair"
"97",0.33,102.069646354612,84.2760887771323,"Fair"
"98",0.33,53.7737104782814,64.4028558660497,"PFair"
"99",0.33,48.3587679460791,62.7117899261507,"Unfair"
"100",0.34,99.9485167583171,85.2961512727687,"Fair"
"101",0.34,51.5307750050127,65.010933729243,"PFair"
"102",0.34,47.4121437435494,62.3626902636254,"Unfair"
"103",0.35,96.5861620310453,85.5552897405799,"Fair"
"104",0.35,50.063295794917,65.0273347360455,"PFair"
"105",0.35,46.128055999157,63.0195032844746,"Unfair"
"106",0.36,96.6284138874832,84.7672906271199,"Fair"
"107",0.36,49.8915595976684,65.179624839093,"PFair"
"108",0.36,44.9078995486583,64.5478718905494,"Unfair"
"109",0.37,96.2239007017585,85.8510748212537,"Fair"
"110",0.37,48.6649543496227,66.4834822675155,"PFair"
"111",0.37,44.7542993001287,63.4457967760427,"Unfair"
"112",0.38,94.9046525380296,86.7077955749568,"Fair"
"113",0.38,47.8180453500708,66.6153546784247,"PFair"
"114",0.38,43.1310135541007,64.7610510773412,"Unfair"
"115",0.39,94.2045384614834,87.7329065524882,"Fair"
"116",0.39,47.8311969540766,68.2063027392234,"PFair"
"117",0.39,42.7179419818352,65.9042456582495,"Unfair"
"118",0.4,93.8414455916397,86.3718622496344,"Fair"
"119",0.4,47.9128044815552,69.059829558621,"PFair"
"120",0.4,42.5017399528505,63.8022231157697,"Unfair"
"121",0.41,91.8708685525868,87.4299903239131,"Fair"
"122",0.41,46.5530924833442,70.7739579137591,"PFair"
"123",0.41,41.4137691469168,67.287439786134,"Unfair"
"124",0.42,91.3177160618319,86.9578440433707,"Fair"
"125",0.42,46.1065657737483,73.0629505328341,"PFair"
"126",0.42,40.4935074666935,66.3387882558756,"Unfair"
"127",0.43,90.911864520751,87.1547871546134,"Fair"
"128",0.43,45.5891827254749,74.5844875934768,"PFair"
"129",0.43,40.0028277771658,69.7565131812484,"Unfair"
"130",0.44,91.1967710476669,87.7535975007685,"Fair"
"131",0.44,44.8904275774765,74.0569355367953,"PFair"
"132",0.44,41.4018009220248,74.3032158411416,"Unfair"
"133",0.45,89.2185697222293,87.3951844369294,"Fair"
"134",0.45,43.4763877293701,74.361879242965,"PFair"
"135",0.45,39.4481465112011,71.5721853986003,"Unfair"
"136",0.46,87.4311116829912,86.8936509499511,"Fair"
"137",0.46,43.6913581004901,73.5696336349795,"PFair"
"138",0.46,39.2821248259236,74.054498551973,"Unfair"
"139",0.47,85.1088058126846,87.1212017184707,"Fair"
"140",0.47,42.2528577288181,73.2866905864701,"PFair"
"141",0.47,39.331690775973,75.7946167247631,"Unfair"
"142",0.48,84.1692288290742,87.5032984106147,"Fair"
"143",0.48,42.2832197418443,71.2383498544049,"PFair"
"144",0.48,38.6075077710004,77.1537103136173,"Unfair"
"145",0.49,82.4711863323775,87.2181569721276,"Fair"
"146",0.49,41.2380667070956,71.5782875929709,"PFair"
"147",0.49,38.7979195487558,80.7486829250939,"Unfair"
"148",0.5,81.110239235511,87.326629603373,"Fair"
"149",0.5,40.3648033880116,72.645851401561,"PFair"
"150",0.5,39.9567398985404,79.4962630210043,"Unfair"
